CMDLINE ./runbudack.sh
MEM 0.003906 1636587799.3336
MEM 3.492188 1636587799.4368
CHLD 0 20.031250 1636587799.4396
CHLD 1 7.441406 1636587799.4396
CHLD 2 10.000000 1636587799.4396
CHLD 3 9.464844 1636587799.4396
CHLD 4 8.066406 1636587799.4396
MEM 3.492188 1636587799.5399
CHLD 0 20.031250 1636587799.5427
CHLD 1 30.015625 1636587799.5427
CHLD 2 31.851562 1636587799.5427
CHLD 3 30.789062 1636587799.5427
CHLD 4 31.898438 1636587799.5428
MEM 3.492188 1636587799.6430
CHLD 0 20.031250 1636587799.6461
CHLD 1 31.691406 1636587799.6462
CHLD 2 33.656250 1636587799.6462
CHLD 3 33.109375 1636587799.6462
CHLD 4 33.316406 1636587799.6462
MEM 3.492188 1636587799.7465
CHLD 0 20.031250 1636587799.7494
CHLD 1 33.238281 1636587799.7494
CHLD 2 34.171875 1636587799.7494
CHLD 3 33.625000 1636587799.7495
CHLD 4 34.218750 1636587799.7495
MEM 3.492188 1636587799.8497
CHLD 0 20.031250 1636587799.8526
CHLD 1 34.140625 1636587799.8527
CHLD 2 34.558594 1636587799.8527
CHLD 3 34.527344 1636587799.8527
CHLD 4 34.605469 1636587799.8527
MEM 3.492188 1636587799.9530
CHLD 0 20.031250 1636587799.9561
CHLD 1 34.656250 1636587799.9561
CHLD 2 34.687500 1636587799.9561
CHLD 3 34.914062 1636587799.9562
CHLD 4 35.121094 1636587799.9562
MEM 3.492188 1636587800.0564
CHLD 0 20.031250 1636587800.0592
CHLD 1 35.042969 1636587800.0592
CHLD 2 35.203125 1636587800.0592
CHLD 3 35.300781 1636587800.0592
CHLD 4 35.507812 1636587800.0592
MEM 3.492188 1636587800.1595
CHLD 0 20.031250 1636587800.1625
CHLD 1 35.300781 1636587800.1625
CHLD 2 35.460938 1636587800.1626
CHLD 3 35.687500 1636587800.1626
CHLD 4 35.765625 1636587800.1626
MEM 3.492188 1636587800.2630
CHLD 0 20.031250 1636587800.2658
CHLD 1 35.558594 1636587800.2659
CHLD 2 35.718750 1636587800.2659
CHLD 3 35.945312 1636587800.2659
CHLD 4 35.894531 1636587800.2659
MEM 3.492188 1636587800.3662
CHLD 0 20.031250 1636587800.3694
CHLD 1 35.816406 1636587800.3694
CHLD 2 35.976562 1636587800.3694
CHLD 3 36.203125 1636587800.3694
CHLD 4 36.023438 1636587800.3695
MEM 3.492188 1636587800.4698
